case,solver,N,kappa,max_rel_err,max_abs_err,residual,wall_time_s,converged,notes,rel_l2_err,rms_err,wall_time_mean_s,wall_time_std_s,n_timing_repeats,n_qubits,circuit_depth,circuit_depth_t,n_gates_total,n_gates_2q,success_probability,qsvt_degree,qsvt_max_degree,qsvt_kappa_eff,qsvt_phases_cached,vqls_final_cost,vqls_n_layers,vqls_n_restarts,hhl_epsilon,hhl_scale_c,random_seed,discretisation_order,err_disc,err_alg,proportionality_residual,phase_lookup_time_s,qsvt_alpha,qsvt_angle_method,vqls_n_evaluations,vqls_optimiser_success,hhl_trotter_steps,backend_name
1D_Poisson_fS_hom,QSVT,8,32.16343747752634,1.0216075566193519,0.001019379299724829,2.4892772277363697e-14,13.806116160005331,True,,0.010216075566191052,0.0007763286514095326,,,1,3,967,,,,,483,482,32.163437477526415,False,,,,,,,2,0.010216075566190936,1.3760186665022683e-15,1.3806722255105569e-15,0.00025725550949573517,3.8793852415718164,auto,,,,aer_simulator_statevector (CPU)
1D_Poisson_fL_hom,Thomas,8,32.16343747752634,4.335817419384315e-14,2.220446049250313e-16,9.610229927779262e-16,4.5942142605781555e-05,True,,2.275507079535975e-16,1.1102230246251565e-16,5.4322928190231326e-05,1.3841262893994145e-05,10,,,,,,,,,,,,,,,,,2,2.275507079535975e-16,0.0,3.0700904217156127e-16,,,,,,,aer_simulator_statevector (CPU)
1D_Poisson_fL_hom,QSVT,8,32.16343747752634,1.1317448598280324e-05,5.99899079301025e-08,1.391320993968021e-07,0.3320879749953747,True,,8.205597722562676e-08,4.0035223815952995e-08,,,1,3,967,,,,,483,482,32.163437477526415,True,,,,,,,2,2.275507079535975e-16,8.205597714709055e-08,3.083577535005832e-08,1.6538426280021667e-05,3.8793852415718164,auto,,,,aer_simulator_statevector (CPU)
1D_Poisson_fH_hom,Thomas,8,32.16343747752634,11.111111111111155,0.0013717421124828585,4.005225380218904e-16,4.6601518988609314e-05,True,,0.038801683098309725,0.0009391676226083056,5.470756441354752e-05,1.1727648669380938e-05,10,,,,,,,,,,,,,,,,,2,0.038801683098309725,0.0,0.021798496163778543,,,,,,,aer_simulator_statevector (CPU)
1D_Poisson_fH_hom,QSVT,8,32.16343747752634,11.111109785911378,0.0013717419488779477,8.599506236474812e-08,0.20786152966320515,True,,0.03880170133175284,0.0009391680639360536,,,1,3,967,,,,,483,482,32.163437477526415,True,,,,,,,2,0.038801683098309725,2.998958785992612e-08,0.021798488173740797,1.54934823513031e-05,3.8793852415718164,auto,,,,aer_simulator_statevector (CPU)
1D_Poisson_fS_nonhom,Thomas,8,32.16343747752634,0.07580930206088743,0.001019379299724621,2.5261613536946424e-16,4.64320182800293e-05,True,,0.0005350674995584702,0.0007763286514093932,5.8255717158317565e-05,2.6225885822999656e-05,10,,,,,,,,,,,,,,,,,2,0.0005350674995584702,0.0,0.00020363452525441964,,,,,,,aer_simulator_statevector (CPU)
1D_Poisson_fS_nonhom,QSVT,8,32.16343747752634,0.07576018782382313,0.0010187218022650324,1.6495248041543724e-07,13.858738580718637,True,,0.0005347066224288793,0.0007758050553106374,,,1,3,967,,,,,483,482,32.163437477526415,False,,,,,,,2,0.0005350674995584702,3.6347298342166267e-07,0.0002035013120923265,8.164159953594208e-05,3.8793852415718164,auto,,,,aer_simulator_statevector (CPU)
HET_1D_3a_linear_hom,Thomas,8,32.16343747752634,4.200323125028541e-13,5.377642775528102e-17,1.5036091166707998e-16,4.815123975276947e-05,True,,2.0167869729911167e-15,2.4563341393020286e-17,6.099194288253784e-05,2.3395868205510325e-05,10,,,,,,,,,,,,,,,,,2,2.0167869729911167e-15,0.0,2.0380498109931172e-15,,,,,,,aer_simulator_statevector (CPU)
HET_1D_3a_linear_hom,QSVT,8,32.16343747752634,3.549157388139248e-06,2.096622684494287e-10,5.8828474956684196e-08,13.815802689641714,True,,1.2648775025067577e-08,1.5405503075193263e-10,,,1,3,967,,,,,483,482,32.163437477526415,False,,,,,,,2,2.0167869729911167e-15,1.2648774614221492e-08,1.2573334024061061e-08,8.185207843780518e-05,3.8793852415718164,auto,,,,aer_simulator_statevector (CPU)
HET_1D_3b_gaussian_Vd300,Thomas,8,32.16343747752634,,,8.852824093092447e-16,4.6450644731521606e-05,True,reference_no_exact,,,5.39558008313179e-05,1.1159604344524344e-05,10,,,,,,,,,,,,,,,,,2,,0.0,,,,,,,,aer_simulator_statevector (CPU)
HET_1D_3b_gaussian_Vd300,QSVT,8,32.16343747752634,1.9773987144432272e-05,8.54603785276413,1.2754654884283812e-07,0.30447516962885857,True,rel_vs_thomas,8.005330072208902e-08,6.1907787911510725,,,1,3,967,,,,,483,482,32.163437477526415,True,,,,,,,2,,8.005330072208902e-08,3.1544315933609865e-08,1.225993037223816e-05,3.8793852415718164,auto,,,,aer_simulator_statevector (CPU)
HET_1D_3c_gaussian_NeumannDirichlet,Thomas,8,113.49524537812056,0.6950242804422815,0.0010741540438607144,1.895798639329945e-15,4.7031790018081665e-05,True,,0.0036114495847762145,0.0006136405894237376,5.287919193506241e-05,1.251118093169213e-05,10,,,,,,,,,,,,,,,,,2,0.0036114495847762145,0.0,0.0032287816713628546,,,,,,,aer_simulator_statevector (CPU)
HET_1D_3c_gaussian_NeumannDirichlet,QSVT,8,113.49524537812056,0.6950402156489223,0.0010741786715854351,3.0277715617408123e-07,155.53605592995882,True,,0.0036115029255581734,0.0006136496528394418,,,1,3,3407,,,,,1703,1702,113.49524537812056,False,,,,,,,2,0.0036114495847762145,2.4332546763384303e-07,0.0032287232572973013,8.707121014595032e-05,3.864944458808711,auto,,,,aer_simulator_statevector (CPU)
