N,backend_name,case,circuit_depth,circuit_depth_t,converged,discretisation_order,err_alg,err_disc,hhl_epsilon,hhl_scale_c,hhl_trotter_steps,kappa,max_abs_err,max_rel_err,n_gates_2q,n_gates_total,n_qubits,n_timing_repeats,notes,phase_lookup_time_s,proportionality_residual,qsvt_alpha,qsvt_angle_method,qsvt_degree,qsvt_kappa_eff,qsvt_max_degree,qsvt_phases_cached,random_seed,rel_l2_err,residual,rms_err,solver,success_probability,vqls_final_cost,vqls_n_evaluations,vqls_n_layers,vqls_n_restarts,vqls_optimiser_success,wall_time_mean_s,wall_time_s,wall_time_std_s
4,aer_simulator_statevector (CPU),1D_Poisson_fH_hom,2363,62600,True,2,5.189694265179813e-15,0.12403473458920836,,,,9.472135954999596,0.0040000000000000695,20.000000000000327,12992,,2,1,,1.5789992175996304e-05,0.05547001962252057,3.6180339887498953,auto,1181,9.472135954999587,,True,,0.12403473458920836,6.432526809034262e-15,0.0031622776601683777,QSVT,,,,,,,,0.5318031589267775,
4,aer_simulator_statevector (CPU),HET_1D_3a_linear_hom,,,True,2,0.0,7.026433144529026e-16,,,,9.472135954999596,1.5612511283791264e-17,1.9515639104739095e-13,,,,10,,,6.891296813606304e-16,,,,,,,,7.026433144529026e-16,6.857096618313867e-17,8.88781302544432e-18,Thomas,,,,,,,4.801738541573286e-05,3.4051015973091125e-05,3.072442833042048e-05
4,aer_simulator_statevector (CPU),HET_1D_3a_linear_hom,,10744,True,2,0.004132706473531691,7.026433144529026e-16,0.01,0.09804829363624785,100,9.472135954999596,7.391593149941832e-05,0.9239491437427299,3153,15357,2,1,,,0.0036692651920412762,,,,,,,,0.00413270647353116,0.00915604212775476,5.227506142912334e-05,HHL,,,,,,,,62.337362609105185,
4,aer_simulator_statevector (CPU),HET_1D_3a_linear_hom,,12,True,2,0.0002290434820201403,7.026433144529026e-16,,,,9.472135954999596,3.5156828619535563e-06,0.04394603577441949,2,21,2,1,,,0.00022904185508360825,,,,,,,42,0.00022904348202027017,6.203890090990141e-05,2.897196345599513e-06,VQLS,,3.848824925434258e-09,1000,6,4,True,,8.14399922802113,
4,aer_simulator_statevector (CPU),HET_1D_3a_linear_hom,2363,62600,True,2,5.9447508074873274e-15,7.026433144529026e-16,,,,9.472135954999596,1.3704315460216776e-16,1.7130394325270986e-12,12992,,2,1,,0.0012434249510988593,6.208229117450575e-15,3.6180339887498953,auto,1181,9.472135954999587,,True,,6.2909890958008156e-15,4.1568939073649234e-15,7.957541711205518e-17,QSVT,,,,,,,,0.46092130499891937,
4,aer_simulator_statevector (CPU),HET_1D_3b_gaussian_Vd300,,,True,2,0.0,,,,,9.472135954999596,,,,,,10,reference_no_exact,,,,,,,,,,,2.711229453875418e-16,,Thomas,,,,,,,4.600028041750193e-05,3.735092468559742e-05,2.0650137075565133e-05
4,aer_simulator_statevector (CPU),HET_1D_3b_gaussian_Vd300,,10744,True,2,0.010589069554912523,,0.01,205502835.64884028,100,9.472135954999596,1260918.5618471503,2.409481203398337,3153,15357,2,1,rel_vs_thomas,,0.006344054593080515,,,,,,,,0.010589069554912523,0.017169159237451305,887082.3472153035,HHL,,,,,,,,48.67749920801725,
4,aer_simulator_statevector (CPU),HET_1D_3b_gaussian_Vd300,,12,True,2,1.2723346150773074e-06,,,,,9.472135954999596,129.57859677821398,0.0002854529667165757,2,21,2,1,rel_vs_thomas,,5.446837957650581e-07,,,,,,,42,1.2723346150773074e-06,2.1524302439976253e-06,106.58779517247031,VQLS,,4.632516592550928e-12,261,6,4,True,,2.4937745720380917,
4,aer_simulator_statevector (CPU),HET_1D_3b_gaussian_Vd300,2363,62600,True,2,0.00035809864285436376,,,,,9.472135954999596,40922.24504470825,0.07135946121136592,12992,,2,1,rel_vs_thomas,9.682192467153072e-05,0.00015181414634288888,3.6180339887498953,auto,1181,9.472135954999587,,True,,0.00035809864285436376,0.00048576091935930945,29999.140433494667,QSVT,,,,,,,,0.5094869430176914,
4,aer_simulator_statevector (CPU),HET_1D_3c_gaussian_NeumannDirichlet,,,True,2,0.0,0.015128780504088436,,,,29.284052235954555,0.0040059321162229655,2.955093555233156,,,,10,,,0.013557943189452738,,,,,,,,0.015128780504088436,3.262726659238602e-16,0.002680227709983478,Thomas,,,,,,,4.0812103543430565e-05,3.764103166759014e-05,7.659991783134286e-06
4,aer_simulator_statevector (CPU),HET_1D_3c_gaussian_NeumannDirichlet,,10744,True,2,0.009662355749384562,0.015128780504088436,0.01,0.6061477129702816,100,29.284052235954555,0.0037550424684383854,2.4531658757868247,3153,15357,2,1,,,0.01606289257704052,,,,,,,,0.01627310636462416,0.009333865454536237,0.002882957459405759,HHL,,,,,,,,77.03850099002011,
4,aer_simulator_statevector (CPU),HET_1D_3c_gaussian_NeumannDirichlet,,12,True,2,9.978452790559993e-06,0.015128780504088436,,,,29.284052235954555,0.0040046190714855545,2.9544963827110244,2,21,2,1,,,0.013560360792822563,,,,,,,42,0.015126646180112105,7.426784619948277e-06,0.002679849591320054,VQLS,,5.515721213100733e-11,897,6,4,True,,5.63009058998432,
4,aer_simulator_statevector (CPU),HET_1D_3c_gaussian_NeumannDirichlet,879,62600,True,2,2.7493042605126524e-07,0.015128780504088436,,,,29.284052235954555,0.004005968826589434,2.955109454220302,12992,,2,1,,8.829194121062756e-05,0.013557876752113479,3.5320888862379554,auto,439,29.284052235954555,439,False,,0.015128839588752156,1.9741219298827757e-07,0.0026802381774731015,QSVT,,,,,,,,9.79267006192822,
8,aer_simulator_statevector (CPU),1D_Poisson_fS_nonhom,,,True,2,0.0,0.0005350674995584702,,,,32.16343747752634,0.001019379299724621,0.07580930206088743,,,,10,,,0.00020363452525441964,,,,,,,,0.0005350674995584702,2.5261613536946424e-16,0.0007763286514093932,Thomas,,,,,,,5.5552402045577765e-05,4.5301043428480625e-05,2.0152935482410387e-05
8,aer_simulator_statevector (CPU),1D_Poisson_fS_nonhom,,43502,True,2,0.01668881761377595,0.0005350674995584702,0.01,18.541023049417177,100,32.16343747752634,0.03619768157315639,2.165141689121677,13360,64526,3,1,,,0.005001708552555803,,,,,,,,0.017184709000091447,0.010740772699644276,0.024933269118218988,HHL,,,,,,,,67.36696064798161,
8,aer_simulator_statevector (CPU),1D_Poisson_fS_nonhom,,69,True,2,0.011998681769731194,0.0005350674995584702,,,,32.16343747752634,0.02489425470581974,1.8513384322047515,16,134,3,1,,,0.005336028992628931,,,,,,,42,0.012526888214778497,0.00280449933480242,0.018175243763002096,VQLS,,7.865216518521123e-06,9500,8,6,True,,105.00435201101936,
8,aer_simulator_statevector (CPU),1D_Poisson_fS_nonhom,9847,1836286,True,2,0.0002745352408948042,0.0005350674995584702,,,,32.16343747752634,0.001547501217242786,0.11508472582211673,388919,,3,1,,0.00019467505626380444,0.00031271310167913636,3.8793852415718164,auto,4923,32.163437477526415,,True,,0.0008094372944655978,6.220281724360738e-05,0.0011744113849775646,QSVT,,,,,,,,2.400325158960186,
8,aer_simulator_statevector (CPU),1D_Poisson_fS_hom,,,True,2,0.0,0.010216075566190936,,,,32.16343747752634,0.0010193792997248152,1.0216075566191176,,,,10,,,1.1640065169283627e-16,,,,,,,,0.010216075566190936,1.005644499873304e-15,0.0007763286514095238,Thomas,,,,,,,5.8124714996665716e-05,4.5372056774795055e-05,2.91248114072257e-05
8,aer_simulator_statevector (CPU),1D_Poisson_fS_hom,,43502,True,2,0.0008825976753085836,0.010216075566190936,0.01,0.22132682826311934,100,32.16343747752634,0.0009486411987107563,1.1616495269559677,13360,64526,3,1,,,0.0008174625389772691,,,,,,,,0.009913666624601863,0.01826019713913552,0.0007533483274801501,HHL,,,,,,,,64.23393484996632,
