case,solver,param,param_value,plot_position,N,err_alg_pct,err_disc_pct,residual,wall_time_s
1D_Poisson_fH_hom,hhl,epsilon,0.1,0.1,8,0.27793889038685243,11.111111111111155,0.01151281663775848,1.9751428086310625
1D_Poisson_fH_hom,hhl,epsilon,0.05,0.05,8,0.8863113059258209,11.111111111111155,0.019260041936625748,2.4554119538515806
1D_Poisson_fH_hom,hhl,epsilon,0.01,0.01,8,0.08258566721009122,11.111111111111155,0.0017997141891354488,3.2720734532922506
1D_Poisson_fH_hom,hhl,epsilon,0.005,0.005,8,0.19522932673510682,11.111111111111155,0.00458086124179998,4.4029785618186
1D_Poisson_fH_hom,hhl,epsilon,0.001,0.001,8,0.3477875157776615,11.111111111111155,0.00781705705861074,10.062614032998681
1D_Poisson_fS_hom,hhl,epsilon,0.1,0.1,8,1.5119470920615483,1.0216075566191176,0.10627592191398837,1.250553872436285
1D_Poisson_fS_hom,hhl,epsilon,0.05,0.05,8,0.5805524921080565,1.0216075566191176,0.06368268561875544,2.4081913735717535
1D_Poisson_fS_hom,hhl,epsilon,0.01,0.01,8,0.1386257591064411,1.0216075566191176,0.01826019713913552,3.2286521028727293
1D_Poisson_fS_hom,hhl,epsilon,0.005,0.005,8,0.08192710542829221,1.0216075566191176,0.01094491219522726,4.716368654742837
1D_Poisson_fS_hom,hhl,epsilon,0.001,0.001,8,0.019205648135671854,1.0216075566191176,0.002445574873190294,9.620845064520836
HET_1D_3a_linear_hom,hhl,epsilon,0.1,0.1,8,7.964084355974242,4.200323125028541e-13,0.05843890676469606,1.948329847306013
HET_1D_3a_linear_hom,hhl,epsilon,0.05,0.05,8,2.095156414232518,4.200323125028541e-13,0.022168168513249945,2.419977117329836
HET_1D_3a_linear_hom,hhl,epsilon,0.01,0.01,8,0.9895945035610244,4.200323125028541e-13,0.00809154924239545,3.2278292067348957
HET_1D_3a_linear_hom,hhl,epsilon,0.005,0.005,8,0.9690885118533132,4.200323125028541e-13,0.007788351180912387,4.369963930919766
HET_1D_3a_linear_hom,hhl,epsilon,0.001,0.001,8,0.8081052181225996,4.200323125028541e-13,0.007995347718547563,10.04265413992107
1D_Poisson_fH_hom,hhl,trotter_steps,1.0,1.0,8,6.091158992694036,11.111111111111155,0.1389793924973484,0.7305412795394659
1D_Poisson_fH_hom,hhl,trotter_steps,2.0,2.0,8,0.27793889038685243,11.111111111111155,0.01151281663775848,1.6984624862670898
1D_Poisson_fH_hom,hhl,trotter_steps,4.0,4.0,8,0.1324627835438101,11.111111111111155,0.0029457509975317235,2.7818572986871004
1D_Poisson_fH_hom,hhl,trotter_steps,8.0,8.0,8,0.2509217096393423,11.111111111111155,0.005790934320008067,4.974717503413558
1D_Poisson_fH_hom,hhl,trotter_steps,16.0,16.0,8,0.35154119829669234,11.111111111111155,0.007891439319779122,11.296740317717195
1D_Poisson_fH_hom,hhl,trotter_steps,32.0,32.0,8,0.37408901679664686,11.111111111111155,0.00836376818181522,21.0757341645658
1D_Poisson_fS_hom,hhl,trotter_steps,1.0,1.0,8,33.9811549321104,1.0216075566191176,0.5721905554464467,1.2005022671073675
1D_Poisson_fS_hom,hhl,trotter_steps,2.0,2.0,8,1.5119470920615483,1.0216075566191176,0.10627592191398837,1.244286062195897
1D_Poisson_fS_hom,hhl,trotter_steps,4.0,4.0,8,0.20123580950980696,1.0216075566191176,0.03153615881375055,2.804626116529107
1D_Poisson_fS_hom,hhl,trotter_steps,8.0,8.0,8,0.062141520637849244,1.0216075566191176,0.008018678120140982,5.703262887895107
1D_Poisson_fS_hom,hhl,trotter_steps,16.0,16.0,8,0.01724587425214549,1.0216075566191176,0.0022110685396761146,11.171920789405704
1D_Poisson_fS_hom,hhl,trotter_steps,32.0,32.0,8,0.004410531066901413,1.0216075566191176,0.0005562943769353643,21.26763421855867
HET_1D_3a_linear_hom,hhl,trotter_steps,1.0,1.0,8,49.61599426014843,4.200323125028541e-13,0.32366259177308165,0.7238017003983259
HET_1D_3a_linear_hom,hhl,trotter_steps,2.0,2.0,8,7.964084355974242,4.200323125028541e-13,0.05843890676469606,1.6884320192039013
HET_1D_3a_linear_hom,hhl,trotter_steps,4.0,4.0,8,1.111753861748901,4.200323125028541e-13,0.010208864114648485,2.777603892609477
HET_1D_3a_linear_hom,hhl,trotter_steps,8.0,8.0,8,0.9217651697193556,4.200323125028541e-13,0.00776063627035888,4.9117145873606205
HET_1D_3a_linear_hom,hhl,trotter_steps,16.0,16.0,8,0.801917538153913,4.200323125028541e-13,0.008008276566901413,11.23221485875547
HET_1D_3a_linear_hom,hhl,trotter_steps,32.0,32.0,8,0.7584987913729824,4.200323125028541e-13,0.008070732341604455,21.206955710425973
