dim,order,case_kind,case,solver,N,kappa,err_total_pct,err_alg_pct,residual,wall_time_s,n_qubits,circuit_depth,notes
1,2,poisson,1D_Poisson_fS_nonhom,Thomas,4,9.472135954999596,0.2480565831957199,0.0,1.2594253343322215e-16,3.3671967685222626e-05,,,
1,2,poisson,1D_Poisson_fS_nonhom,Thomas,8,32.16343747752634,0.07580930206088743,0.0,2.5261613536946424e-16,4.5301043428480625e-05,,,
1,2,poisson,1D_Poisson_fS_nonhom,Thomas,16,116.46119157748775,0.021137856202214957,0.0,3.8314233957164914e-16,6.685091648250818e-05,,,
1,2,poisson,1D_Poisson_fS_nonhom,Thomas,32,440.6885603836567,0.005611761151312614,0.0,6.493227559296594e-16,9.979202877730131e-05,,,
1,2,poisson,1D_Poisson_fS_nonhom,Thomas,64,1711.66137582602,0.001446233327202386,0.0,8.203386764062122e-16,0.00016815494745969772,,,
1,2,poisson,1D_Poisson_fS_nonhom,HHL,4,9.472135954999596,2.4951165743842325,1.7720186941278933,0.012028706301518567,62.383578125038184,2,,
1,2,poisson,1D_Poisson_fS_nonhom,HHL,8,32.16343747752634,2.165141689121677,1.6688817613775948,0.010740772699644276,67.36696064798161,3,,
1,2,poisson,1D_Poisson_fS_nonhom,HHL,16,116.46119157748775,7.279802589367974,5.354103275738384,0.015240942268191648,113.66466513893101,4,,
1,2,poisson,1D_Poisson_fS_nonhom,HHL,32,440.6885603836567,41.767805503851065,30.270010148067268,0.033868769794921344,4378.587748423102,5,,
1,2,poisson,1D_Poisson_fS_nonhom,HHL,64,1711.66137582602,,,,5400.202263290994,6,,hhl_timeout:5400s
1,2,poisson,1D_Poisson_fS_nonhom,VQLS,4,9.472135954999596,0.24744399154552726,0.0004203100071940148,2.672746780514969e-06,4.234421457978897,2,,
1,2,poisson,1D_Poisson_fS_nonhom,VQLS,8,32.16343747752634,1.8513384322047515,1.1998681769731194,0.00280449933480242,105.00435201101936,3,,
1,2,poisson,1D_Poisson_fS_nonhom,VQLS,16,116.46119157748775,90.80989859329932,63.68075980390175,0.061650236092548334,231.2334850289626,4,,
1,2,poisson,1D_Poisson_fS_nonhom,VQLS,32,440.6885603836567,125.77637966173107,87.70026061849576,0.09895472185608839,431.06071454600897,5,,
1,2,poisson,1D_Poisson_fS_nonhom,VQLS,64,1711.66137582602,114.35047725250772,99.44249672425312,0.18214569604988842,921.4400803699391,6,,
1,2,poisson,1D_Poisson_fS_nonhom,QSVT,4,9.472135954999596,0.3552175789451447,0.0762903508078852,0.00043038066185348045,0.4864988960325718,2,2363,
1,2,poisson,1D_Poisson_fS_nonhom,QSVT,8,32.16343747752634,0.11508472582211673,0.027453524089480423,6.220281724360738e-05,2.400325158960186,3,9847,
1,2,poisson,1D_Poisson_fS_nonhom,QSVT,16,116.46119157748775,0.03240782046852177,0.007690962442576792,6.85163544448306e-06,9.025045203976333,4,38579,
1,2,poisson,1D_Poisson_fS_nonhom,QSVT,32,440.6885603836567,0.008884036675690838,0.0029587047720016444,5.0400250427390764e-05,2.5989223340293393,5,10003,
1,2,poisson,1D_Poisson_fS_nonhom,QSVT,64,1711.66137582602,35.203123121797084,21.48951960951572,0.2862672788807598,3.2215670379810035,6,10003,
1,2,het,HET_1D_3b_gaussian_Vd300,Thomas,4,9.472135954999596,,0.0,2.711229453875418e-16,3.735092468559742e-05,,,reference_no_exact
