case,order,solver,N,kappa,err_total_pct,err_alg_pct,err_disc_pct,qsvt_degree,d_over_kappa
1D_Poisson_fS_nonhom,2,Thomas,4,9.472135954999596,0.2480565831957199,0.0,0.18671959589999576,,
1D_Poisson_fS_nonhom,2,Thomas,8,32.16343747752634,0.07580930206088743,0.0,0.05350674995584702,,
1D_Poisson_fS_nonhom,2,Thomas,16,116.46119157748775,0.021137856202214957,0.0,0.014445701581433407,,
1D_Poisson_fS_nonhom,2,Thomas,32,440.6885603836567,0.005611761151312614,0.0,0.0037630511195066363,,
1D_Poisson_fS_nonhom,2,Thomas,64,1711.66137582602,0.001446233327202386,0.0,0.0009610357528098976,,
1D_Poisson_fS_nonhom,2,HHL,4,9.472135954999596,2.4951165743842325,1.7720186941278933,0.18671959589999576,,
1D_Poisson_fS_nonhom,2,HHL,8,32.16343747752634,2.165141689121677,1.6688817613775948,0.05350674995584702,,
1D_Poisson_fS_nonhom,2,HHL,16,116.46119157748775,7.279802589367974,5.354103275738384,0.014445701581433407,,
1D_Poisson_fS_nonhom,2,HHL,32,440.6885603836567,41.767805503851065,30.270010148067268,0.0037630511195066363,,
1D_Poisson_fS_nonhom,2,VQLS,4,9.472135954999596,0.24744399154552726,0.0004203100071940148,0.18671959589999576,,
1D_Poisson_fS_nonhom,2,VQLS,8,32.16343747752634,1.8513384322047515,1.1998681769731194,0.05350674995584702,,
1D_Poisson_fS_nonhom,2,VQLS,16,116.46119157748775,90.80989859329932,63.68075980390175,0.014445701581433407,,
1D_Poisson_fS_nonhom,2,VQLS,32,440.6885603836567,125.77637966173107,87.70026061849576,0.0037630511195066363,,
1D_Poisson_fS_nonhom,2,VQLS,64,1711.66137582602,114.35047725250772,99.44249672425312,0.0009610357528098976,,
1D_Poisson_fS_nonhom,2,QSVT (capped),32,440.6885603836567,0.008884036675690838,0.0029587047720016444,0.0037630511195066363,5001,11.348150257511124
1D_Poisson_fS_nonhom,2,QSVT (capped),64,1711.66137582602,35.203123121797084,21.48951960951572,0.0009610357528098976,5001,2.9217227604885334
1D_Poisson_fS_nonhom,2,QSVT (uncapped),4,9.472135954999596,0.3552175789451447,0.0762903508078852,0.18671959589999576,1181,124.68148742909914
1D_Poisson_fS_nonhom,2,QSVT (uncapped),8,32.16343747752634,0.11508472582211673,0.027453524089480423,0.05350674995584702,4923,153.0619979111332
1D_Poisson_fS_nonhom,2,QSVT (uncapped),16,116.46119157748775,0.03240782046852177,0.007690962442576792,0.014445701581433407,19289,165.62598869826962
1D_Poisson_fS_nonhom,4,Thomas,4,11.947710174364115,0.012378197202898773,0.0,0.009317438585666601,,
1D_Poisson_fS_nonhom,4,Thomas,8,42.137764839337706,0.0012110793957926436,0.0,0.0008547885371145579,,
1D_Poisson_fS_nonhom,4,Thomas,16,154.512614771818,9.579461322584575e-05,0.0,6.546644947071407e-05,,
1D_Poisson_fS_nonhom,4,Thomas,32,586.8093155218731,6.772702041180657e-06,0.0,4.541537652977382e-06,,
1D_Poisson_fS_nonhom,4,Thomas,64,2281.4379953842554,4.50309341119167e-07,0.0,2.9923473862474063e-07,,
1D_Poisson_fS_nonhom,4,HHL,4,11.947710174364115,0.8003353192859136,0.45923997671251215,0.009317438585666601,,
1D_Poisson_fS_nonhom,4,HHL,8,42.137764839337706,4.324491440126107,3.253574307064523,0.0008547885371145579,,
1D_Poisson_fS_nonhom,4,HHL,16,154.512614771818,82.09440100871367,61.40957911971985,6.546644947071407e-05,,
1D_Poisson_fS_nonhom,4,HHL,32,586.8093155218731,37.267370659646986,24.264984040899066,4.541537652977382e-06,,
1D_Poisson_fS_nonhom,4,VQLS,4,11.947710174364115,0.01380096816490046,0.0010082406470867979,0.009317438585666601,,
1D_Poisson_fS_nonhom,4,VQLS,8,42.137764839337706,19.728236360943207,13.463344091402202,0.0008547885371145579,,
1D_Poisson_fS_nonhom,4,VQLS,16,154.512614771818,141.99347587177297,99.2497388705439,6.546644947071407e-05,,
1D_Poisson_fS_nonhom,4,VQLS,32,586.8093155218731,116.45637450767094,99.50615998857994,4.541537652977382e-06,,
1D_Poisson_fS_nonhom,4,VQLS,64,2281.4379953842554,125.56573856709818,104.46672512089745,2.9923473862474063e-07,,
1D_Poisson_fS_nonhom,4,QSVT (capped),16,154.512614771818,9.579378830763954e-05,6.551928196724733e-10,6.546644947071407e-05,14999,97.0729802362759
1D_Poisson_fS_nonhom,4,QSVT (capped),32,586.8093155218731,6.776637295584127e-06,2.789563953439264e-09,4.541537652977382e-06,14999,25.56026225769914
1D_Poisson_fS_nonhom,4,QSVT (capped),64,2281.4379953842554,11.875584946884295,7.749983211248907,2.9923473862474063e-07,14999,6.574362323387959
1D_Poisson_fS_nonhom,4,QSVT (uncapped),4,11.947710174364115,0.10222038142039186,0.06479128419618083,0.009317438585666601,1611,134.8375526765522
1D_Poisson_fS_nonhom,4,QSVT (uncapped),8,42.137764839337706,0.03149630828820587,0.021214936189657394,0.0008547885371145579,6575,156.03580363289487
