solver,xi,z_mm,phi_code,E_axial_code_per_mm,phi_exact_code
Thomas,0.1111111111111111,4.444444444444445,25197156.529590674,-5666896.289296444,
Thomas,0.2222222222222222,8.88888888888889,50383362.25979709,-5640786.3939888105,
Thomas,0.3333333333333333,13.333333333333332,75337480.03171341,-5356492.527416154,
Thomas,0.4444444444444444,17.77777777777778,97996629.17016289,-3939778.872964587,
Thomas,0.5555555555555556,22.22222222222222,110357736.68028753,-422190.2203311585,
Thomas,0.6666666666666666,26.666666666666664,101749431.12866206,4116706.509261529,
Thomas,0.7777777777777777,31.111111111111107,73764789.93129617,7210580.2425402,
Thomas,0.8888888888888888,35.55555555555556,37655384.52830469,8124616.215673073,
HHL,0.1111111111111111,4.444444444444445,25331742.214295357,-5717489.574396073,25197156.529590674
HHL,0.2222222222222222,8.88888888888889,50742806.98938902,-5656347.283785341,50383362.25979709
HHL,0.3333333333333333,13.333333333333332,75610384.73683171,-5350074.7180903945,75337480.03171341
HHL,0.4444444444444444,17.77777777777778,98299026.70574808,-3932000.816253761,97996629.17016289
HHL,0.5555555555555556,22.22222222222222,110561503.10353182,-400050.2332211882,110357736.68028753
HHL,0.6666666666666666,26.666666666666664,101855028.77882531,4121720.7971961945,101749431.12866206
HHL,0.7777777777777777,31.111111111111107,73923984.90623233,7224542.0637254855,73764789.93129617
HHL,0.8888888888888888,35.55555555555556,37636877.10126541,8164599.256117547,37655384.52830469
VQLS,0.1111111111111111,4.444444444444445,25142670.03724815,-5657591.025685444,25197156.529590674
VQLS,0.2222222222222222,8.88888888888889,50287519.040294565,-5634428.7525432,50383362.25979709
VQLS,0.3333333333333333,13.333333333333332,75226481.17096546,-5356090.53763286,75337480.03171341
VQLS,0.4444444444444444,17.77777777777778,97897212.7081422,-3944535.765350392,97996629.17016289
VQLS,0.5555555555555556,22.22222222222222,110289021.30741341,-429303.610870257,110357736.68028753
VQLS,0.6666666666666666,26.666666666666664,101713244.80476671,4110561.3983158674,101749431.12866206
VQLS,0.7777777777777777,31.111111111111107,73750697.76682794,7206767.81419285,73764789.93129617
VQLS,0.8888888888888888,35.55555555555556,37653086.45638578,8121962.544849477,37655384.52830469
QSVT,0.1111111111111111,4.444444444444445,25191689.826902673,-5665959.715703063,25197156.529590674
QSVT,0.2222222222222222,8.88888888888889,50373733.007805176,-5640120.492111801,50383362.25979709
QSVT,0.3333333333333333,13.333333333333332,75326094.20122978,-5356414.487993456,75337480.03171341
QSVT,0.4444444444444444,17.77777777777778,97986306.23441367,-3940194.55162216,97996629.17016289
QSVT,0.5555555555555556,22.22222222222222,110350045.77120455,-422703.3273005169,110357736.68028753
QSVT,0.6666666666666666,26.666666666666664,101743669.14375159,4116364.4846013123,101749431.12866206
QSVT,0.7777777777777777,31.111111111111107,73760139.24141513,7210248.593823758,73764789.93129617
QSVT,0.8888888888888888,35.55555555555556,37652570.53198482,8124202.959621809,37655384.52830469
