x_m,y_m,phi_V,phi_exact_V,signed_error_V
0.0023529411764705885,0.0011764705882352944,-10.160040376989652,-10.129165589346632,-0.030874787643019985
0.0023529411764705885,0.002352941176470589,-19.97409775451901,-19.91339459314315,-0.06070316137586218
0.0023529411764705885,0.0035294117647058833,-29.107964563436656,-29.019496827554505,-0.08846773588215129
0.0023529411764705885,0.004705882352941178,-37.25059646736765,-37.137374902553674,-0.11322156481397627
0.0023529411764705885,0.005882352941176472,-44.12470507841899,-43.99058421661814,-0.13412086180085225
0.0023529411764705885,0.007058823529411767,-49.49620012654987,-49.345746946076034,-0.15045318047383915
0.0023529411764705885,0.008235294117647061,-53.18216137130356,-53.02049944698545,-0.16166192431811055
0.0023529411764705885,0.009411764705882356,-55.05706748369288,-54.889702430307736,-0.16736505338514718
0.0023529411764705885,0.01058823529411765,-55.057070619000534,-54.889702430307736,-0.16736818869279801
0.0023529411764705885,0.011764705882352944,-53.18217056326492,-53.02049944698545,-0.1616711162794715
0.0023529411764705885,0.012941176470588239,-49.49621479455778,-49.345746946076034,-0.1504678484817461
0.0023529411764705885,0.014117647058823533,-44.12472412653124,-43.99058421661814,-0.13413990991310243
0.0023529411764705885,0.015294117647058828,-37.25061831872106,-37.13737490255367,-0.11324341616739275
0.0023529411764705885,0.016470588235294122,-29.107986861883536,-29.019496827554505,-0.08849003432903046
0.0023529411764705885,0.01764705882352942,-19.97411741777948,-19.913394593143124,-0.060722824636354034
0.0023529411764705885,0.01882352941176471,-10.160053034772963,-10.129165589346632,-0.030887445426330373
0.004705882352941177,0.0011764705882352944,-19.974118646783268,-19.91339459314315,-0.06072405364011857
0.004705882352941177,0.002352941176470589,-39.26804189122054,-39.14866241690114,-0.11937947431940188
0.004705882352941177,0.0035294117647058833,-57.224739127032706,-57.050769495696805,-0.1739696313359005
0.004705882352941177,0.004705882352941178,-73.23271649911874,-73.01008104417264,-0.2226354549461007
0.004705882352941177,0.005882352941176472,-86.74684176358058,-86.48312184862971,-0.2637199149508689
0.004705882352941177,0.007058823529411767,-97.30690745339709,-97.01108366360357,-0.2958237897935163
0.004705882352941177,0.008235294117647061,-104.55330324362018,-104.23544937638377,-0.3178538672364084
0.004705882352941177,0.009411764705882356,-108.23926172720756,-107.91020187729318,-0.32905984991438686
0.004705882352941177,0.01058823529411765,-108.23926200136938,-107.91020187729318,-0.3290601240762072
0.004705882352941177,0.011764705882352944,-104.55330399478353,-104.23544937638377,-0.3178546183997639
0.004705882352941177,0.012941176470588239,-97.30690859553458,-97.01108366360357,-0.29582493193100845
0.004705882352941177,0.014117647058823533,-86.74684305292824,-86.48312184862971,-0.26372120429853396
0.004705882352941177,0.015294117647058828,-73.2327177571583,-73.01008104417262,-0.22263671298567544
0.004705882352941177,0.016470588235294122,-57.22473999846145,-57.050769495696805,-0.17397050276464654
0.004705882352941177,0.01764705882352942,-39.2680423071719,-39.14866241690109,-0.11937989027081386
0.004705882352941177,0.01882352941176471,-19.974118477760207,-19.91339459314315,-0.06072388461705813
0.007058823529411765,0.0011764705882352944,-29.10799421745791,-29.0194968275545,-0.08849738990340938
0.007058823529411765,0.002352941176470589,-57.224748555804716,-57.0507694956968,-0.17397906010791786
0.007058823529411765,0.0035294117647058833,-83.39278134961997,-83.13924663351924,-0.25353471610073086
0.007058823529411765,0.004705882352941178,-106.72097214853868,-106.39651644177283,-0.32445570676584623
0.007058823529411765,0.005882352941176472,-126.41490784329646,-126.03058049115806,-0.3843273521383992
0.007058823529411765,0.007058823529411767,-141.8039353255628,-141.3728242789374,-0.43111104662540356
0.007058823529411765,0.008235294117647061,-152.36399995705386,-151.90078609391125,-0.46321386314261304
0.007058823529411765,0.009411764705882356,-157.735491505533,-157.25594882336918,-0.47954268216381024
0.007058823529411765,0.01058823529411765,-157.73549034110397,-157.25594882336918,-0.4795415177347877
0.007058823529411765,0.011764705882352944,-152.36399651664095,-151.90078609391125,-0.46321042272970203
0.007058823529411765,0.012941176470588239,-141.803929810521,-141.3728242789374,-0.4311055315835972
0.007058823529411765,0.014117647058823533,-126.41490059212363,-126.03058049115806,-0.38432010096556724
0.007058823529411765,0.015294117647058828,-106.72096375836989,-106.3965164417728,-0.32444731659708737
0.007058823529411765,0.016470588235294122,-83.39277266104779,-83.13924663351924,-0.2535260275285509
0.007058823529411765,0.01764705882352942,-57.22474084478505,-57.05076949569673,-0.17397134908832612
0.007058823529411765,0.01882352941176471,-29.10798921401028,-29.019496827554505,-0.08849238645577628
0.009411764705882354,0.0011764705882352944,-37.250623024505494,-37.137374902553674,-0.11324812195181977
0.009411764705882354,0.002352941176470589,-73.23272027654522,-73.01008104417264,-0.2226392323725861
0.009411764705882354,0.0035294117647058833,-106.72096461693779,-106.39651644177285,-0.32444817516494595
0.009411764705882354,0.004705882352941178,-136.57495429843522,-136.15974608050473,-0.4152082179304841
0.009411764705882354,0.005882352941176472,-161.77804762703067,-161.2862188720806,-0.4918287549500633
0.009411764705882354,0.007058823529411767,-181.47198358184033,-180.92028292146585,-0.551700660374479
0.009411764705882354,0.008235294117647061,-194.98610886796078,-194.3933237259229,-0.5927851420378829
0.009411764705882354,0.009411764705882356,-201.86021617526876,-201.24653303998736,-0.6136831352814056
0.009411764705882354,0.01058823529411765,-201.86021602254812,-201.24653303998736,-0.6136829825607606
0.009411764705882354,0.011764705882352944,-194.9861083996699,-194.3933237259229,-0.5927846737469906
0.009411764705882354,0.012941176470588239,-181.47198277034408,-180.92028292146585,-0.5516998488782292
0.009411764705882354,0.014117647058823533,-161.77804645315578,-161.2862188720806,-0.4918275810751709
0.009411764705882354,0.015294117647058828,-136.57495279802345,-136.1597460805047,-0.4152067175187426
0.009411764705882354,0.016470588235294122,-106.72096292333661,-106.39651644177285,-0.32444648156376843
0.009411764705882354,0.01764705882352942,-73.23271864313456,-73.01008104417255,-0.22263759896200952
0.009411764705882354,0.01882352941176471,-37.25062195521911,-37.137374902553674,-0.11324705266543589
0.011764705882352943,0.0011764705882352944,-44.12472675694775,-43.99058421661813,-0.13414254032961992
0.011764705882352943,0.002352941176470589,-86.74683955809229,-86.4831218486297,-0.26371770946259687
0.011764705882352943,0.0035294117647058833,-126.41489359074487,-126.03058049115806,-0.38431309958680515
0.011764705882352943,0.004705882352941178,-161.77804040342238,-161.28621887208058,-0.49182153134179885
0.011764705882352943,0.005882352941176472,-191.63203044809526,-191.04944851081248,-0.5825819372827823
0.011764705882352943,0.007058823529411767,-214.96022164144668,-214.30671831906605,-0.6535033223806295
0.011764705882352943,0.008235294117647061,-230.968200369697,-230.26602986754187,-0.702170502155127
0.011764705882352943,0.009411764705882356,-239.11083398362933,-238.383907942541,-0.7269260410883476
0.011764705882352943,0.01058823529411765,-239.11083483066753,-238.383907942541,-0.7269268881265418
0.011764705882352943,0.011764705882352944,-230.96820281189264,-230.26602986754187,-0.7021729443507638
0.011764705882352943,0.012941176470588239,-214.96022550789854,-214.30671831906605,-0.6535071888324921
0.011764705882352943,0.014117647058823533,-191.63203534331177,-191.04944851081248,-0.5825868324992882
0.011764705882352943,0.015294117647058828,-161.77804589717326,-161.28621887208055,-0.4918270250927037
0.011764705882352943,0.016470588235294122,-126.41489895417585,-126.03058049115806,-0.3843184630177916
0.011764705882352943,0.01764705882352942,-86.74684412895292,-86.4831218486296,-0.26372228032332146
0.011764705882352943,0.01882352941176471,-44.124729460555585,-43.99058421661814,-0.13414524393744642
0.01411764705882353,0.0011764705882352944,-49.496218094205126,-49.345746946076034,-0.15047114812909257
0.01411764705882353,0.002352941176470589,-97.30690290137983,-97.01108366360356,-0.2958192377762714
0.01411764705882353,0.0035294117647058833,-141.8039191892304,-141.3728242789374,-0.4310949102930124
0.01411764705882353,0.004705882352941178,-181.4719737999184,-180.92028292146583,-0.5516908784525754
0.01411764705882353,0.005882352941176472,-214.9602185844418,-214.30671831906605,-0.6535002653757545
0.01411764705882353,0.007058823529411767,-241.1282511290459,-240.39519545688847,-0.733055672157434
0.01411764705882353,0.008235294117647061,-259.08495032653644,-258.29730253568414,-0.7876477908523043
0.01411764705882353,0.009411764705882356,-268.21882212834976,-267.4034047700955,-0.8154173582542512
0.01411764705882353,0.01058823529411765,-268.21882342747375,-267.4034047700955,-0.8154186573782454
0.01411764705882353,0.011764705882352944,-259.0849540989025,-258.29730253568414,-0.7876515632183327
0.01411764705882353,0.012941176470588239,-241.12825713252371,-240.39519545688847,-0.7330616756352413
0.01411764705882353,0.014117647058823533,-214.96022627417346,-214.30671831906605,-0.6535079551074148
0.01411764705882353,0.015294117647058828,-181.4719824992355,-180.92028292146577,-0.5516995777697389
0.01411764705882353,0.016470588235294122,-141.80392777624402,-141.3728242789374,-0.4311034973066228
0.01411764705882353,0.01764705882352942,-97.30691020989273,-97.01108366360344,-0.29582654628929106
0.01411764705882353,0.01882352941176471,-49.49622238080201,-49.345746946076034,-0.15047543472597624
0.01647058823529412,0.0011764705882352944,-53.18217485184903,-53.02049944698544,-0.1616754048635869
0.01647058823529412,0.002352941176470589,-104.55329757708374,-104.23544937638376,-0.3178482006999843
0.01647058823529412,0.0035294117647058833,-152.36398476750094,-151.90078609391125,-0.46319867358968736
0.01647058823529412,0.004705882352941178,-194.98610013330378,-194.39332372592287,-0.5927764073809101
0.01647058823529412,0.005882352941176472,-230.9681980495008,-230.26602986754187,-0.7021681819589389
0.01647058823529412,0.007058823529411767,-259.0849510772467,-258.29730253568414,-0.7876485415625893
0.01647058823529412,0.008235294117647061,-278.37887666414747,-277.5325703594421,-0.8463063047053652
0.01647058823529412,0.009411764705882356,-288.19294323260306,-287.3167993632386,-0.876143869364455
0.01647058823529412,0.01058823529411765,-288.1929444478684,-287.3167993632386,-0.8761450846297976
0.01647058823529412,0.011764705882352944,-278.378880280471,-277.5325703594421,-0.846309921028876
0.01647058823529412,0.012941176470588239,-259.08495691796344,-258.29730253568414,-0.7876543822792996
0.01647058823529412,0.014117647058823533,-230.96820584301162,-230.26602986754187,-0.7021759754697428
