order,case,N,kappa,degree,max_degree,degree_over_kappa,residual,err_alg_pct,eigenvector_rhs
2,1D_Poisson_fS_nonhom,4,9.472135954999596,1181,,124.68148742909914,0.00043038066185348045,0.0762903508078852,False
2,1D_Poisson_fS_hom,4,9.472135954999596,1181,,124.68148742909914,6.7589688661786896e-15,8.720249664848703e-14,True
2,1D_Poisson_fL_hom,4,9.472135954999596,1181,,124.68148742909914,0.00041882222967218915,0.023842155783507808,False
2,1D_Poisson_fH_hom,4,9.472135954999596,1181,,124.68148742909914,6.432526809034262e-15,5.189694265179813e-13,False
2,HET_1D_3a_linear_hom,4,9.472135954999596,1181,,124.68148742909914,4.1568939073649234e-15,5.944750807487328e-13,False
2,HET_1D_3b_gaussian_Vd300,4,9.472135954999596,1181,,124.68148742909914,0.00048576091935930945,0.03580986428543638,False
2,HET_1D_3c_gaussian_NeumannDirichlet,4,29.284052235954555,439,439,14.991094690816112,1.9741219298827757e-07,2.7493042605126525e-05,False
2,1D_Poisson_fS_nonhom,8,32.16343747752634,4923,,153.0619979111332,6.220281724360738e-05,0.027453524089480423,False
2,1D_Poisson_fS_hom,8,32.16343747752634,4923,,153.0619979111332,1.0164065364831429e-13,3.911990884389671e-13,True
2,1D_Poisson_fL_hom,8,32.16343747752634,4923,,153.0619979111332,0.00014070445373066666,0.009377096630567213,False
2,1D_Poisson_fH_hom,8,32.16343747752634,4923,,153.0619979111332,1.5202940038861422e-12,5.634716599292033e-11,False
2,1D_Poisson_fS_nonhom,16,116.46119157748775,19289,,165.62598869826962,6.85163544448306e-06,0.007690962442576792,False
2,HET_1D_3a_linear_hom,8,32.16343747752634,4923,,153.0619979111332,1.4575814162089088e-12,7.556555284058101e-11,False
2,HET_1D_3b_gaussian_Vd300,8,32.16343747752634,4923,,153.0619979111332,0.00014370102329080888,0.010023710519536459,False
2,HET_1D_3c_gaussian_NeumannDirichlet,8,113.49524537812056,1703,1702,15.005033861341841,3.027771864022547e-07,2.4332547141121e-05,False
2,1D_Poisson_fS_hom,16,116.46119157748775,19289,,165.62598869826962,4.309114835975727e-13,1.2777833172959245e-12,True
2,1D_Poisson_fL_hom,16,116.46119157748775,19289,,165.62598869826962,4.061552413420869e-05,0.0029732955318152727,False
2,1D_Poisson_fH_hom,16,116.46119157748775,19289,,165.62598869826962,7.556384813710833e-12,2.943212289991706e-10,False
2,HET_1D_3a_linear_hom,16,116.46119157748775,19289,,165.62598869826962,6.698881407061739e-12,2.5857422002850537e-10,False
2,HET_1D_3b_gaussian_Vd300,16,116.46119157748775,19289,,165.62598869826962,3.980269137611951e-05,0.0027711438275934046,False
2,HET_1D_3c_gaussian_NeumannDirichlet,16,437.69761653850793,5001,5000,11.4256962136325,7.144278688847284e-06,0.000758352172092486,False
2,1D_Poisson_fS_nonhom,32,440.6885603836567,5001,5000,11.348150257511124,5.0400250427390764e-05,0.0029587047720016444,False
2,1D_Poisson_fS_nonhom,64,1711.66137582602,5001,5000,2.9217227604885334,0.2862672788807598,21.48951960951572,False
2,1D_Poisson_fS_hom,32,440.6885603836567,5001,5000,11.348150257511124,1.088072749458507e-12,2.623338885303954e-12,True
2,1D_Poisson_fL_hom,32,440.6885603836567,5001,5000,11.348150257511124,2.149636899268386e-05,0.0005095779591848496,False
2,1D_Poisson_fH_hom,32,440.6885603836567,5001,5000,11.348150257511124,2.4503698868623324e-05,0.0007577898898510913,False
2,HET_1D_3a_linear_hom,32,440.6885603836567,5001,5000,11.348150257511124,3.2133608524359705e-05,0.0020147858822902377,False
