solver,N,z_mm,r_mm,phi
Thomas,8,4.444444444444445,2.2222222222222228,101.15173885149338
Thomas,8,4.444444444444445,4.4444444444444455,96.5914109595111
Thomas,8,4.444444444444445,6.666666666666668,89.06956201384833
Thomas,8,4.444444444444445,8.888888888888891,78.81987402123852
Thomas,8,4.444444444444445,11.111111111111112,66.15826829974196
Thomas,8,4.444444444444445,13.333333333333336,51.473438894446126
Thomas,8,4.444444444444445,15.555555555555559,35.215163969267536
Thomas,8,4.444444444444445,17.777777777777782,17.880745562076367
Thomas,8,8.88888888888889,2.2222222222222228,190.103171627757
Thomas,8,8.88888888888889,4.4444444444444455,181.53258987932705
Thomas,8,8.88888888888889,6.666666666666668,167.396135435764
Thomas,8,8.88888888888889,8.888888888888891,148.13300368646975
Thomas,8,8.88888888888889,11.111111111111112,124.33694321814357
Thomas,8,8.88888888888889,13.333333333333336,96.73846681206075
Thomas,8,8.88888888888889,15.555555555555559,66.18288426917384
Thomas,8,8.88888888888889,17.777777777777782,33.60481901513751
Thomas,8,13.333333333333332,2.2222222222222228,256.1252934491734
Thomas,8,13.333333333333332,4.4444444444444455,244.57818294901423
Thomas,8,13.333333333333332,6.666666666666668,225.53219584625054
Thomas,8,13.333333333333332,8.888888888888891,199.57905522135425
Thomas,8,13.333333333333332,11.111111111111112,167.51871336450603
Thomas,8,13.333333333333332,13.333333333333336,130.33538844742813
Thomas,8,13.333333333333332,15.555555555555559,89.16796289486847
Thomas,8,13.333333333333332,17.777777777777782,45.275653012165854
Thomas,8,17.77777777777778,2.2222222222222228,291.25498012315046
Thomas,8,17.77777777777778,4.4444444444444455,278.1241069626545
Thomas,8,17.77777777777778,6.666666666666668,256.4658084453303
Thomas,8,17.77777777777778,8.888888888888891,226.95297643267494
Thomas,8,17.77777777777778,11.111111111111112,190.49528806822747
Thomas,8,17.77777777777778,13.333333333333336,148.21195881258484
Thomas,8,17.77777777777778,15.555555555555559,101.39807929473511
Thomas,8,17.77777777777778,17.777777777777782,51.485578380011084
Thomas,8,22.22222222222222,2.2222222222222228,291.25498012315046
Thomas,8,22.22222222222222,4.4444444444444455,278.1241069626545
Thomas,8,22.22222222222222,6.666666666666668,256.46580844533025
Thomas,8,22.22222222222222,8.888888888888891,226.95297643267486
Thomas,8,22.22222222222222,11.111111111111112,190.49528806822744
Thomas,8,22.22222222222222,13.333333333333336,148.2119588125848
Thomas,8,22.22222222222222,15.555555555555559,101.3980792947351
Thomas,8,22.22222222222222,17.777777777777782,51.48557838001107
Thomas,8,26.666666666666664,2.2222222222222228,256.1252934491734
Thomas,8,26.666666666666664,4.4444444444444455,244.57818294901423
Thomas,8,26.666666666666664,6.666666666666668,225.53219584625054
Thomas,8,26.666666666666664,8.888888888888891,199.57905522135422
Thomas,8,26.666666666666664,11.111111111111112,167.51871336450597
