N,anisotropy,azimuthal_mode_amp,azimuthal_mode_rel_err,backend_name,case,circuit_depth_t,converged,convergence_factor,discretisation_order,err_thomas_vs_exact,err_vs_thomas,hhl_scale_c,hhl_trotter_steps,inner_calls,inner_failures,inner_max_s,inner_mean_s,inner_options,inner_total_s,kappa_row,level_kappas,level_shapes,linf_err,max_abs_err,max_rel_err,mean_strip_size,n_circuit_evals,n_gates_2q,n_gates_total,n_levels,n_outer,n_unknowns,notes,peak_E_axial,peak_E_field,peak_E_rel_err,qsvt_degree,qsvt_depth,rel_l2_err,residual,rms_err,s_per_strip_solve,scheme,shape,solver,solves_per_digit,stop_reason,strip_solves,strip_solves_by_size,vqls_final_cost,wall_time_s,weighted_cost
4,15.707963267948964,184.15593783965244,3.6899181428106234,aer_simulator_statevector (CPU),3D_HET_MMS_SPT100,,True,0.2739566542892788,2,3.6899277865840587,0.0,,,192,0,0.00012446381151676178,4.802971185805897e-05,{},0.009221704676747322,1.3845874083379235,[],[],3.6899277865840587,10.012713110920345,3.6899384823937655,4.0,,,,,12,64,scheme_fallback:fmg->sor,13433.995866565969,27327.313714353866,3.689923056482674,,,0.03689918065438337,4.764328393933774e-07,4.892186411426615,7.837544156548877e-05,line-sor,4x4x4,Thomas,31.040338232315776,tol_met,192,"{""4"": 192}",,0.015048084780573845,192.0
4,15.707963267948964,184.10168192081102,3.65936907744012,aer_simulator_statevector (CPU),3D_HET_MMS_SPT100,2418,False,0.7745965933311578,2,3.6899277865840587,0.123404991862267,181.19696575136143,100,368,0,0.47560073994100094,0.2186259457477085,"{""epsilon"": 0.01}",80.45434803515673,1.3845874083379235,[],[],3.768441303495103,10.22576154049068,3.7684413034971933,4.0,,697,3429,,23,64,scheme_fallback:fmg->sor,13504.029267637772,27350.823264262854,3.779126973363646,,,0.03691725325534321,0.002649502662266554,4.8945825224314365,0.21868548477979619,line-sor,4x4x4,HHL,150.79883333202028,stagnated,368,"{""4"": 368}",,80.476258398965,368.0
4,15.707963267948964,184.15598742250387,3.6899460606821104,aer_simulator_statevector (CPU),3D_HET_MMS_SPT100,12,True,0.43939594205719945,2,3.6899277865840587,4.4982223730900516e-05,,,288,0,1.4103645160794258,0.9567743864802954,{},275.5510233063251,1.3845874083379235,[],[],3.689954190942066,10.012784759818885,3.6899919644459023,4.0,178.61458333333334,2,21,,18,64,scheme_fallback:fmg->sor,13434.001687254164,27327.329784574664,3.689984032836788,,,0.03689944175070798,6.195181122081567e-07,4.892221028235679,0.9568200249794043,line-sor,4x4x4,VQLS,47.43514787347769,tol_met,288,"{""4"": 288}",1.0319368816248521e-13,275.56416719406843,288.0
4,15.707963267948964,184.15593783965238,3.6899181428105914,aer_simulator_statevector (CPU),3D_HET_MMS_SPT100,26560,True,0.27395665430683813,2,3.6899277865840587,4.5456106203820006e-13,,,192,0,0.30150842294096947,0.21186649452041215,"{""max_degree"": 500}",40.67836694791913,1.3845874083379235,[],[],3.6899277865842266,10.0127131109208,3.68993848239418,4.0,,5512,,,12,64,scheme_fallback:fmg->sor,13433.995866566092,27327.31371435393,3.689923056482923,501,1003,0.036899180654383114,4.764328397292848e-07,4.892186411426581,0.21191520490295565,line-sor,4x4x4,QSVT,31.04033823385235,tol_met,192,"{""4"": 192}",,40.68771934136748,192.0
4,15.707963267948964,764.3921558861413,0.0,aer_simulator_statevector (CPU),3D_HET_Discharge_SPT100,,True,0.26965620255718886,2,0.0,0.0,,,192,0,0.00016938522458076477,4.921010501372317e-05,{},0.00944834016263485,1.3845874083379235,[],[],0.0,0.0,0.0,4.0,,,,,12,64,scheme_fallback:fmg->sor,273052.132072777,487050.59076430846,0.0,,,0.0,3.2467631803678453e-07,0.0,8.00586227948467e-05,line-sor,4x4x4,Thomas,30.665609301094648,tol_met,192,"{""4"": 192}",,0.015371255576610565,192.0
4,15.707963267948964,930.4598432396535,21.725456766493636,aer_simulator_statevector (CPU),3D_HET_Discharge_SPT100,2418,False,0.953389685237663,2,0.0,21.948618958699566,3772.9522915875523,100,320,0,0.4712494406849146,0.22046055058017372,"{""epsilon"": 0.01}",70.5473761856556,1.3845874083379235,[],[],21.948618958699566,1044.9103442959745,260.83375662709426,4.0,,697,3429,,20,64,scheme_fallback:fmg->sor,197116.77378952573,440528.7620523391,9.551744642987616,,,0.25656978712674455,0.24294804699364606,471.1003853780947,0.2205188348889351,line-sor,4x4x4,HHL,812.4684049335896,stagnated,320,"{""4"": 320}",,70.56602716445923,320.0
4,15.707963267948964,764.3930604934698,0.00011834335576675594,aer_simulator_statevector (CPU),3D_HET_Discharge_SPT100,12,True,0.45464599317702525,2,0.0,4.2898702472018145e-05,,,288,0,1.4069484807550907,1.0552902872894063,{},303.923602739349,1.3845874083379235,[],[],4.2898702472018145e-05,0.002042283300568215,0.0006367217133344866,4.0,194.96875,2,21,,18,64,scheme_fallback:fmg->sor,273052.10316133616,487050.6374907723,9.59375980940911e-06,,,3.8255393207437147e-07,8.973943202306501e-07,0.0007024260605521459,1.055329496448394,line-sor,4x4x4,VQLS,49.48833916437979,tol_met,288,"{""4"": 288}",8.89265513078404e-14,303.93489497713745,288.0
4,15.707963267948964,764.3921558858717,3.526350841806678e-11,aer_simulator_statevector (CPU),3D_HET_Discharge_SPT100,26560,True,0.269656208086817,2,0.0,2.9057453926776765e-11,,,192,0,0.29877673648297787,0.21570879237454696,"{""max_degree"": 500}",41.416088135913014,1.3845874083379235,[],[],2.9057453926776765e-11,1.3833414413966238e-09,1.9933751456960412e-10,4.0,,5512,,,12,64,scheme_fallback:fmg->sor,273052.1320729403,487050.59076435777,1.0122539573628166e-11,501,1003,3.51063165614902e-13,3.2467639127349556e-07,6.446043178557658e-10,0.21575765043962747,line-sor,4x4x4,QSVT,30.665609780899324,tol_met,192,"{""4"": 192}",,41.425468884408474,192.0
4,15.707963267948964,115.15502974414301,8.064355205132554,aer_simulator_statevector (CPU),3D_HET_RotatingSpoke_SPT100,,True,0.26800811383521034,2,4.442409572335141,0.0,,,192,0,0.0001475457102060318,4.8226851504296064e-05,{},0.009259555488824844,1.3845874083379235,[],[],4.442409572335141,15.670969104040012,4.442418311766863,4.0,,,,,12,64,scheme_fallback:fmg->sor,17590.932957247387,35641.37149601919,4.45051197038818,,,0.03962502529752088,3.7637332583368256e-07,7.756826428677233,7.87338843413939e-05,line-sor,4x4x4,Thomas,30.52283404414863,tol_met,192,"{""4"": 192}",,0.01511690579354763,192.0
4,15.707963267948964,115.12131415452126,8.032715653990667,aer_simulator_statevector (CPU),3D_HET_RotatingSpoke_SPT100,2418,False,0.7748350063146854,2,4.442409572335141,0.1238160355583656,360.8249788326537,100,368,0,0.4674914311617613,0.21900049934123197,"{""epsilon"": 0.01}",80.59218375757337,1.3845874083379235,[],[],4.521749174373939,15.950846146449521,4.521749174375727,4.0,,697,3429,,23,64,scheme_fallback:fmg->sor,17682.939404055513,35672.165036277984,4.540755440557991,,,0.03964191929176491,0.0026828404696201806,7.760133525140998,0.21906033411379094,line-sor,4x4x4,HHL,150.98074737192917,stagnated,368,"{""4"": 368}",,80.61420295387506,368.0
4,15.707963267948964,115.15503444767836,8.064359619047572,aer_simulator_statevector (CPU),3D_HET_RotatingSpoke_SPT100,12,False,0.7154834445175555,2,4.442409572335141,0.0001053006592650787,,,624,0,1.6311155799776316,0.9613533331534992,{},599.8844798877835,1.3845874083379235,[],[],4.442502670677193,15.67129751618171,4.442511375286605,4.0,173.72756410256412,2,21,,39,64,scheme_fallback:fmg->sor,17591.01991923439,35641.38149095163,4.450541261511584,,,0.03962522893519551,2.1916735077480015e-06,7.756866291922357,0.961402638681018,line-sor,4x4x4,VQLS,112.9367691114327,stagnated,624,"{""4"": 624}",1.4734367572198328e-13,599.9152465369552,624.0
4,15.707963267948964,115.15502974414301,8.064355205132554,aer_simulator_statevector (CPU),3D_HET_RotatingSpoke_SPT100,26560,True,0.2680081138205735,2,4.442409572335141,6.480004989471952e-13,,,192,0,0.30231032706797123,0.21641200452965373,"{""max_degree"": 500}",41.55110486969352,1.3845874083379235,[],[],4.442409572335462,15.670969104041149,4.442418311767809,4.0,,5512,,,12,64,scheme_fallback:fmg->sor,17590.93295724747,35641.371496019325,4.450511970388585,501,1003,0.03962502529752069,3.7637332560757696e-07,7.756826428677195,0.21646111135487445,line-sor,4x4x4,QSVT,30.522834042882657,tol_met,192,"{""4"": 192}",,41.560533380135894,192.0
4,1.0,,,aer_simulator_statevector (CPU),3D_Poisson_TripleSin_cube,,True,0.2995029795680163,2,3.355867146788807,0.0,,,192,0,0.0002612471580505371,4.8060930566862226e-05,{},0.009227698668837547,1.7384968229309907,[],[],3.355867146788807,0.02886846792714559,3.355872401027013,4.0,,,,,12,64,scheme_fallback:fmg->sor,1.6980435930974591,1.8531128630462683,3.355927334129753,,,0.03355851403110951,9.105397615866348e-07,0.01658145925453511,7.518809676791231e-05,line-sor,4x4x4,Thomas,33.33572135152995,tol_met,192,"{""4"": 192}",,0.014436114579439163,192.0
4,1.0,,,aer_simulator_statevector (CPU),3D_Poisson_TripleSin_cube,4248,False,0.770299956000483,2,3.355867146788807,0.057041210148076026,0.9325546334348072,100,368,0,0.600794954225421,0.34795318163789646,"{""epsilon"": 0.01}",128.0467708427459,1.7384968229309907,[],[],3.3920584807697516,0.02917979978820251,3.392058480816454,4.0,,1237,6074,,23,64,scheme_fallback:fmg->sor,1.7021360398440781,1.8565888955400884,3.5498003404677245,,,0.03356205693192914,0.0016803663134275688,0.01658320982267794,0.34800624944593594,line-sor,4x4x4,HHL,147.58473612164167,stagnated,368,"{""4"": 368}",,128.06629979610443,368.0
4,1.0,,,aer_simulator_statevector (CPU),3D_Poisson_TripleSin_cube,12,False,0.7077229279091679,2,3.355867146788807,7.270292263743444e-05,,,592,0,1.3664489816874266,0.9877024557774987,{},584.7198538202792,1.7384968229309907,[],[],3.355863934132216,0.028868440290630293,3.356002697265801,4.0,180.6081081081081,2,21,,37,64,scheme_fallback:fmg->sor,1.6980431845593618,1.8531127398637708,3.3559204637218474,,,0.03355839110446583,2.060458422209952e-06,0.01658139851575712,0.9877484920686362,line-sor,4x4x4,VQLS,109.52978633235709,stagnated,592,"{""4"": 592}",1.4891635222244533e-13,584.7471073046327,592.0
4,1.0,,,aer_simulator_statevector (CPU),3D_Poisson_TripleSin_cube,26560,True,0.29950297956215227,2,3.355867146788807,2.9344315298769056e-13,,,192,0,0.3052078187465668,0.21718991521629505,"{""max_degree"": 500}",41.70046372152865,1.7384968229309907,[],[],3.355867146788807,0.02886846792714559,3.355872401027272,4.0,,5512,,,12,64,scheme_fallback:fmg->sor,1.6980435930974558,1.8531128630462732,3.3559273341300258,501,1003,0.03355851403111027,9.105397613905302e-07,0.01658145925453549,0.21723376744193956,line-sor,4x4x4,QSVT,33.335721350988585,tol_met,192,"{""4"": 192}",,41.708883348852396,192.0
