case,solver,param,param_value,plot_position,N,err_alg_pct,err_disc_pct,residual,wall_time_s
2D_HET_MMS_SPT100,hhl,epsilon,0.1,0.1,8,1.3081803033231734,0.3558317809639013,0.009444145490713715,140.58281719498336
2D_HET_MMS_SPT100,hhl,epsilon,0.05,0.05,8,1.3081803033231734,0.3558317809639013,0.009444145490713715,140.16650015302002
2D_HET_MMS_SPT100,hhl,epsilon,0.01,0.01,8,0.22180987883624062,0.3558317809639013,0.001563971226718221,295.5842442791909
2D_HET_MMS_SPT100,hhl,epsilon,0.005,0.005,8,0.22191553037401707,0.3558317809639013,0.0015639707438785948,353.4275362044573
2D_Poisson_sin_hom,hhl,epsilon,0.1,0.1,8,1.1796963776265312,1.0216080163118948,0.065016326178654,630.8999389950186
2D_Poisson_sin_hom,hhl,epsilon,0.05,0.05,8,0.4333183413743555,1.0216080163118948,0.024149035098039548,794.9827366471291
2D_Poisson_sin_hom,hhl,epsilon,0.01,0.01,8,0.11460910163416821,1.0216080163118948,0.006860103911897393,525.9317372441292
2D_Poisson_sin_hom,hhl,epsilon,0.005,0.005,8,0.06417807072354421,1.0216080163118948,0.003861446186554572,1034.0350077189505
2D_HET_MMS_SPT100,hhl,trotter_steps,1.0,1.0,8,1.3081803033231734,0.3558317809639013,0.009444145490713715,142.86006869375706
2D_HET_MMS_SPT100,hhl,trotter_steps,2.0,2.0,8,0.5309670586389259,0.3558317809639013,0.0037378286040668776,242.81320201046765
2D_HET_MMS_SPT100,hhl,trotter_steps,4.0,4.0,8,0.138307931757222,0.3558317809639013,0.0009637658905650988,438.6803286448121
2D_HET_MMS_SPT100,hhl,trotter_steps,8.0,8.0,8,0.03391704234954123,0.3558317809639013,0.00024320111697680326,895.6578398793936
2D_HET_MMS_SPT100,hhl,trotter_steps,16.0,16.0,8,0.008847875992314468,0.3558317809639013,6.314085299527897e-05,1879.262436216697
2D_Poisson_sin_hom,hhl,trotter_steps,1.0,1.0,8,18.29998646975254,1.0216080163118948,0.5301610804545795,146.29121114872396
2D_Poisson_sin_hom,hhl,trotter_steps,2.0,2.0,8,1.1796963776265312,1.0216080163118948,0.065016326178654,739.6756000015885
2D_Poisson_sin_hom,hhl,trotter_steps,4.0,4.0,8,0.2580199365352602,1.0216080163118948,0.015405900511555484,1079.5209028404206
2D_Poisson_sin_hom,hhl,trotter_steps,8.0,8.0,8,0.06415993098015822,1.0216080163118948,0.00386144557390184,764.2577344439924
2D_Poisson_sin_hom,hhl,trotter_steps,16.0,16.0,8,0.01659483036692589,1.0216080163118948,0.0010200575243074872,1600.6664892658591
