case,solver,param,param_value,plot_position,N,err_alg_pct,err_disc_pct,residual,wall_time_s
2D_HET_MMS_SPT100,vqls,n_layers,1.0,1.0,8,59.00926238345634,0.3558317809639013,0.3238818264474896,3618.2606294211
2D_HET_MMS_SPT100,vqls,n_layers,2.0,2.0,8,0.3619426059293909,0.3558317809639013,0.0012850706565069765,1088.2756729424
2D_HET_MMS_SPT100,vqls,n_layers,3.0,3.0,8,0.001478251914937817,0.3558317809639013,4.540412271871541e-06,1257.7692618947476
2D_HET_MMS_SPT100,vqls,n_layers,4.0,4.0,8,0.00045576114088112643,0.3558317809639013,2.5447938586913747e-06,1412.0716861076653
2D_HET_MMS_SPT100,vqls,n_layers,5.0,5.0,8,0.00029347541874149684,0.3558317809639013,2.1112170740410088e-06,1248.023477261886
2D_Poisson_sin_hom,vqls,n_layers,1.0,1.0,8,46.768609101880834,1.0216080163118948,1.5533201658226428,3642.5530508924276
2D_Poisson_sin_hom,vqls,n_layers,2.0,2.0,8,0.05089141744018899,1.0216080163118948,0.0016420095607274096,3600.4714717473835
2D_Poisson_sin_hom,vqls,n_layers,3.0,3.0,8,0.0012167724898855474,1.0216080163118948,1.7649010651483425e-05,1291.1267900895327
2D_Poisson_sin_hom,vqls,n_layers,4.0,4.0,8,0.0003840561882612818,1.0216080163118948,1.1842244439480314e-05,1494.8661077078432
2D_Poisson_sin_hom,vqls,n_layers,5.0,5.0,8,0.0006581270111819837,1.0216080163118948,9.401630481334289e-06,2031.0943721942604
2D_HET_MMS_SPT100,vqls,n_restarts,1.0,1.0,8,0.0,0.3558317809639013,3.425055118034553e-09,941.1300794668496
2D_HET_MMS_SPT100,vqls,n_restarts,2.0,2.0,8,0.00045576114088112643,0.3558317809639013,2.5447938586913747e-06,1660.2400368079543
2D_HET_MMS_SPT100,vqls,n_restarts,3.0,3.0,8,0.00045576114088112643,0.3558317809639013,2.5447938586913747e-06,1661.4815985616297
2D_HET_MMS_SPT100,vqls,n_restarts,5.0,5.0,8,0.00045576114088112643,0.3558317809639013,2.5447938586913747e-06,1593.2066574823111
2D_Poisson_sin_hom,vqls,n_restarts,1.0,1.0,8,0.0,1.0216080163118948,6.285248128010736e-09,758.269512662664
2D_Poisson_sin_hom,vqls,n_restarts,2.0,2.0,8,0.0003840561882612818,1.0216080163118948,1.1842244439480314e-05,1512.6686071157455
2D_Poisson_sin_hom,vqls,n_restarts,3.0,3.0,8,0.0003840561882612818,1.0216080163118948,1.1842244439480314e-05,1445.1148292776197
2D_Poisson_sin_hom,vqls,n_restarts,5.0,5.0,8,0.0003840561882612818,1.0216080163118948,1.1842244439480314e-05,1381.1966914702207
