case,solver,param,param_value,plot_position,N,err_alg_pct,err_disc_pct,residual,wall_time_s
2D_HET_MMS_SPT100,qsvt,max_degree,5.0,5.0,8,5.626610198196266e-07,0.3558317809639013,4.847124491079071e-09,4.383265595883131
2D_HET_MMS_SPT100,qsvt,max_degree,8.0,8.0,8,1.251526335038325e-08,0.3558317809639013,3.4516896206449817e-09,5.501756636425853
2D_HET_MMS_SPT100,qsvt,max_degree,11.0,11.0,8,5.390415073883707e-09,0.3558317809639013,3.4405294029199634e-09,6.109941806644201
2D_HET_MMS_SPT100,qsvt,max_degree,15.0,15.0,8,6.171504658672552e-11,0.3558317809639013,3.425223213472678e-09,7.1262626480311155
2D_HET_MMS_SPT100,qsvt,max_degree,21.0,21.0,8,5.483824013401461e-12,0.3558317809639013,3.4250624310651402e-09,8.947054790332913
2D_HET_MMS_SPT100,qsvt,max_degree,51.0,51.0,8,3.576406965261823e-12,0.3558317809639013,3.4250554518442033e-09,17.421953277662396
2D_HET_MMS_SPT100,qsvt,max_degree,201.0,201.0,8,6.656090740903949e-12,0.3558317809639013,3.4250533632465937e-09,64.62968327850103
2D_HET_MMS_SPT100,qsvt,max_degree,501.0,501.0,8,4.398623502132574e-12,0.3558317809639013,3.425058821526552e-09,171.59792392887175
2D_Poisson_sin_hom,qsvt,max_degree,5.0,5.0,8,5.508406608359992e-07,1.0216080163118948,3.4654982374390526e-09,4.876014521345496
2D_Poisson_sin_hom,qsvt,max_degree,8.0,8.0,8,2.6882567148470574e-07,1.0216080163118948,6.44666181480293e-09,3.531878236681223
2D_Poisson_sin_hom,qsvt,max_degree,11.0,11.0,8,3.496858123906038e-08,1.0216080163118948,6.257051335565387e-09,3.922658871859312
2D_Poisson_sin_hom,qsvt,max_degree,15.0,15.0,8,7.0165292584157386e-09,1.0216080163118948,6.282357285754544e-09,4.698967447504401
2D_Poisson_sin_hom,qsvt,max_degree,21.0,21.0,8,3.5054466877862935e-09,1.0216080163118948,6.286643957464039e-09,5.727749915793538
2D_Poisson_sin_hom,qsvt,max_degree,51.0,51.0,8,3.5640801646886787e-12,1.0216080163118948,6.285249235767694e-09,11.313934590667486
2D_Poisson_sin_hom,qsvt,max_degree,201.0,201.0,8,1.8110163438458734e-12,1.0216080163118948,6.285247958715465e-09,42.46698970720172
2D_Poisson_sin_hom,qsvt,max_degree,501.0,501.0,8,2.3145704992145736e-12,1.0216080163118948,6.285246781046449e-09,117.0928299203515
