case,solver,param,param_value,plot_position,N,err_alg_pct,err_disc_pct,residual,wall_time_s
3D_HET_MMS_SPT100,qsvt,max_degree,5.0,5.0,8,159.42386144717983,1.103250861822027,4.731926794849329e-09,38.46881199395284
3D_HET_MMS_SPT100,qsvt,max_degree,8.0,8.0,8,21.76349397438961,1.103250861822027,3.5816803204526983e-09,48.986074665910564
3D_HET_MMS_SPT100,qsvt,max_degree,11.0,11.0,8,1.4108921842557658,1.103250861822027,3.5710807235779974e-09,54.900432486087084
3D_HET_MMS_SPT100,qsvt,max_degree,15.0,15.0,8,0.023123294062976,1.103250861822027,3.5520293069991685e-09,64.22870620002504
3D_HET_MMS_SPT100,qsvt,max_degree,21.0,21.0,8,0.004077675225967441,1.103250861822027,3.551852457244844e-09,78.52454421494622
3D_HET_MMS_SPT100,qsvt,max_degree,51.0,51.0,8,0.005982154890365787,1.103250861822027,3.551850433301095e-09,151.70643867494073
3D_HET_MMS_SPT100,qsvt,max_degree,201.0,201.0,8,0.0059608478177524005,1.103250861822027,3.5518496526459967e-09,521.6673397559207
3D_HET_MMS_SPT100,qsvt,max_degree,501.0,501.0,8,0.005397755702491823,1.103250861822027,3.5518499301590852e-09,1274.508584032068
3D_Poisson_TripleSin_cube,qsvt,max_degree,5.0,5.0,8,3.4571369233867266e-06,1.0216076867791615,6.105027558709861e-09,22.16681038402021
3D_Poisson_TripleSin_cube,qsvt,max_degree,8.0,8.0,8,8.42345989050958e-08,1.0216076867791615,3.950326977794153e-09,24.963694289093837
3D_Poisson_TripleSin_cube,qsvt,max_degree,11.0,11.0,8,1.1740507052016162e-08,1.0216076867791615,3.9086021606335716e-09,27.273397612036206
3D_Poisson_TripleSin_cube,qsvt,max_degree,15.0,15.0,8,2.3230085912693965e-10,1.0216076867791615,3.910952136788645e-09,32.12607868597843
3D_Poisson_TripleSin_cube,qsvt,max_degree,21.0,21.0,8,1.5114749565838272e-10,1.0216076867791615,3.9110108326120295e-09,39.36868114001118
3D_Poisson_TripleSin_cube,qsvt,max_degree,51.0,51.0,8,2.798391818953496e-12,1.0216076867791615,3.910952624865884e-09,75.71775964088738
3D_Poisson_TripleSin_cube,qsvt,max_degree,201.0,201.0,8,4.429356376012283e-12,1.0216076867791615,3.910952680461829e-09,265.2428846230032
3D_Poisson_TripleSin_cube,qsvt,max_degree,501.0,501.0,8,2.3385414458327003e-12,1.0216076867791615,3.910952465303495e-09,662.0170277541038
