N,anisotropy,azimuthal_mode_amp,azimuthal_mode_rel_err,backend_name,case,circuit_depth_t,converged,convergence_factor,discretisation_order,err_thomas_vs_exact,err_vs_thomas,hhl_scale_c,hhl_trotter_steps,inner_calls,inner_failures,inner_max_s,inner_mean_s,inner_options,inner_total_s,kappa_row,level_kappas,level_shapes,linf_err,max_abs_err,max_rel_err,mean_strip_size,n_circuit_evals,n_gates_2q,n_gates_total,n_levels,n_outer,n_unknowns,notes,peak_E_axial,peak_E_field,peak_E_rel_err,qsvt_degree,qsvt_depth,rel_l2_err,residual,rms_err,s_per_strip_solve,scheme,shape,solver,solves_per_digit,stop_reason,strip_solves,strip_solves_by_size,vqls_final_cost,wall_time_s,weighted_cost
4,15.707963267948964,110.5419927276541,3.735366086447214,aer_simulator_statevector (CPU),3D_HET_RotatingSpoke_SPT100,,True,0.28660954536304895,4,0.9908356139426885,0.0,,,208,0,0.00018570572137832642,4.193536005914211e-05,{},0.00872255489230156,1.4135027246548582,[],[],0.9908356139426885,3.495255005295803,1.3616679926874349,4.0,,,,,13,64,scheme_fallback:fmg->sor,17009.59433869502,34462.9234459374,0.9969551347513589,,,0.010852687581368528,2.4500174091849807e-07,2.1244759649050224,9.709454249017514e-05,line-sor,4x4x4,Thomas,31.93851983669924,tol_met,208,"{""4"": 208}",,0.02019566483795643,208.0
4,15.707963267948964,110.32395932062937,3.530758093243126,aer_simulator_statevector (CPU),3D_HET_RotatingSpoke_SPT100,3893,False,0.8375597870576981,4,0.9908356139426885,0.803614679609639,344.8449324590836,100,352,0,11.892139645293355,0.5728995781021446,"{""epsilon"": 0.01}",201.66065149195492,1.4135027246548582,[],[],1.4751894734225686,5.20385351332169,2.6652203052362777,4.0,,911,5690,,22,64,scheme_fallback:fmg->sor,17581.03239918764,34650.76089600882,1.547431084571735,,,0.013457021141279524,0.019276264511471172,2.6342892264721405,0.5729812342324294,line-sor,4x4x4,HHL,217.73180263533115,stagnated,352,"{""4"": 352}",,201.68939444981515,352.0
4,15.707963267948964,110.54198229145491,3.7353562928573134,aer_simulator_statevector (CPU),3D_HET_RotatingSpoke_SPT100,12,False,0.6503662613087642,4,0.9908356139426885,6.457477541965639e-05,,,496,0,1.6099390164017677,1.104896686524303,{},548.0287565160543,1.4135027246548582,[],[],0.9908326253873976,3.4952444629185493,1.3617646032602242,4.0,179.67943548387098,2,21,,31,64,scheme_fallback:fmg->sor,17009.61118627849,34462.945671719506,0.9970202695714476,,,0.010852637182601804,1.9788891763727656e-06,2.1244660990567925,1.1049722732728227,line-sor,4x4x4,VQLS,88.48831442829133,stagnated,496,"{""4"": 496}",7.923299113584441e-14,548.0662475433201,496.0
4,15.707963267948964,110.54199272765409,3.7353660864472005,aer_simulator_statevector (CPU),3D_HET_RotatingSpoke_SPT100,26560,True,0.28660954535734684,4,0.9908356139426885,5.265442892696813e-13,,,208,0,0.4538714401423931,0.2439175257459283,"{""max_degree"": 500}",50.734845355153084,1.4135027246548582,[],[],0.9908356139427852,3.495255005296144,1.361667992687988,4.0,,5512,,,13,64,scheme_fallback:fmg->sor,17009.594338695,34462.92344593754,0.9969551347517641,501,1003,0.010852687581368353,2.450017408600062e-07,2.1244759649049882,0.24400009971577674,line-sor,4x4x4,QSVT,31.938519836190753,tol_met,208,"{""4"": 208}",,50.75202074088156,208.0
4,15.707963267948964,738.3043258707453,0.0,aer_simulator_statevector (CPU),3D_HET_Discharge_SPT100,,True,0.2927242963584329,4,0.0,0.0,,,192,0,0.0001693330705165863,3.966021661957105e-05,{},0.007614761590957642,1.4135027246548582,[],[],0.0,0.0,0.0,4.0,,,,,12,64,scheme_fallback:fmg->sor,235535.1123508117,453966.96748010453,0.0,,,0.0,8.6658691327961e-07,0.0,0.0001605010086980959,line-sor,4x4x4,Thomas,32.71452044755277,tol_met,192,"{""4"": 192}",,0.03081619367003441,192.0
4,15.707963267948964,890.9978398299028,20.681649640759318,aer_simulator_statevector (CPU),3D_HET_Discharge_SPT100,3893,False,0.9490287997774188,4,0.0,22.728641472585352,3229.7758878981963,100,320,0,11.910120274871588,0.6060222931148018,"{""epsilon"": 0.01}",193.9271337967366,1.4135027246548582,[],[],22.728641472585352,1018.1045088740046,315.06400026520225,4.0,,911,5690,,20,64,scheme_fallback:fmg->sor,192933.87347903592,423926.5819214498,6.617306480558252,,,0.2437609998231467,0.24047080464373474,429.45687270268286,0.6061017640517093,line-sor,4x4x4,HHL,741.2700068430316,stagnated,320,"{""4"": 320}",,193.95256449654698,320.0
4,15.707963267948964,738.301636527799,0.00036425940523876905,aer_simulator_statevector (CPU),3D_HET_Discharge_SPT100,12,False,0.692258786179175,4,0.0,0.0001416225163138481,,,576,0,1.8658018726855516,1.1465899533197645,{},660.4358131121844,1.4135027246548582,[],[],0.0001416225163138481,0.006343824930809205,0.0017113628810712417,4.0,186.63368055555554,2,21,,36,64,scheme_fallback:fmg->sor,235535.5870844764,453967.0884559516,2.6648601270814923e-05,,,1.3857870270449855e-06,1.6449864473450986e-06,0.0024414724393913307,1.1466661896718304,line-sor,4x4x4,VQLS,103.03002500940487,stagnated,576,"{""4"": 576}",1.0006231954129419e-13,660.4797252509743,576.0
4,15.707963267948964,738.3043258704687,3.7464236153631326e-11,aer_simulator_statevector (CPU),3D_HET_Discharge_SPT100,26560,True,0.29272430122319404,4,0.0,2.734185422547288e-11,,,192,0,0.4354909248650074,0.24217312832479365,"{""max_degree"": 500}",46.49724063836038,1.4135027246548582,[],[],2.734185422547288e-11,1.2247483027749695e-09,3.727837186795966e-10,4.0,,5512,,,12,64,scheme_fallback:fmg->sor,235535.11235091923,453966.9674801216,3.7568470548230785e-12,501,1003,3.537102109398846e-13,8.665870716987161e-07,6.231648259707578e-10,0.2422544802830089,line-sor,4x4x4,QSVT,32.71452089010001,tol_met,192,"{""4"": 192}",,46.51286021433771,192.0
4,1.0,,,aer_simulator_statevector (CPU),3D_Poisson_TripleSin_cube,,True,0.3136655308299601,4,0.16745093953564005,0.0,,,208,0,0.01318257674574852,0.00010233076038555457,{},0.02128479816019535,1.7998995126489068,[],[],0.16745093953564005,0.0014404777858922913,0.1674582620924284,4.0,,,,,13,64,scheme_fallback:fmg->sor,1.64566079314315,1.7959457735051414,0.16747741813082714,,,0.001674366468315852,5.306878607483212e-07,0.000827314324639101,0.000176582198876601,line-sor,4x4x4,Thomas,34.42341676289429,tol_met,208,"{""4"": 208}",,0.03672909736633301,208.0
4,1.0,,,aer_simulator_statevector (CPU),3D_Poisson_TripleSin_cube,3897,False,0.8684839175551244,4,0.16745093953564005,1.0542692075849358,0.8912581580992193,100,336,0,12.200724506750703,0.8042429362623287,"{""epsilon"": 0.01}",270.22562658414245,1.7998995126489068,[],[],0.9525442191971507,0.008194154010951804,1.541436909865109,4.0,,911,5673,,21,64,scheme_fallback:fmg->sor,1.7174769007317308,1.8572707501003338,3.5878302477585935,,,0.010479115342421309,0.03488153191127442,0.00517779255401041,0.804314288465927,line-sor,4x4x4,HHL,274.33847982120295,stagnated,336,"{""4"": 336}",,270.2496009245515,336.0
