case,solver,N,r_target,residual_achieved,wall_time_s,param,param_value,in_band,n_solver_calls
2D_HET_MMS_SPT100,qsvt,8,0.001,0.0006953809168920314,1.1814962644129992,max_degree,5.0,True,8
2D_Poisson_sin_hom,qsvt,8,0.001,0.0006434795580109263,1.5322027131915092,max_degree,5.0,True,8
