case,solver,param,param_value,plot_position,N,err_alg_pct,err_disc_pct,residual,wall_time_s
2D_HET_MMS_SPT100,qsvt,max_degree,5.0,5.0,8,0.0009746833892953136,0.022613618880002184,2.9249111402518694e-06,6.642432326450944
2D_HET_MMS_SPT100,qsvt,max_degree,8.0,8.0,8,2.8190416933110076e-05,0.022613618880002184,9.64331638892047e-08,10.008291576057673
2D_HET_MMS_SPT100,qsvt,max_degree,11.0,11.0,8,5.723453707374539e-06,0.022613618880002184,3.0636560910596606e-08,11.628067079931498
2D_HET_MMS_SPT100,qsvt,max_degree,15.0,15.0,8,3.1386783143590436e-09,0.022613618880002184,6.650208296141761e-09,7.189336800947785
2D_HET_MMS_SPT100,qsvt,max_degree,21.0,21.0,8,2.784583782746651e-09,0.022613618880002184,6.6617033218275106e-09,8.953092854470015
2D_HET_MMS_SPT100,qsvt,max_degree,51.0,51.0,8,1.538739079767414e-11,0.022613618880002184,6.654900295906821e-09,17.69337780587375
2D_HET_MMS_SPT100,qsvt,max_degree,201.0,201.0,8,2.7147641873114756e-12,0.022613618880002184,6.654901952301166e-09,67.92431712523103
2D_HET_MMS_SPT100,qsvt,max_degree,501.0,501.0,8,1.8343389556174717e-11,0.022613618880002184,6.654899326504707e-09,196.06000375188887
2D_Poisson_sin_hom,qsvt,max_degree,5.0,5.0,8,6.160324292686716e-07,0.01632097027693462,9.898069321962311e-09,5.85455460101366
2D_Poisson_sin_hom,qsvt,max_degree,8.0,8.0,8,3.591542356421331e-07,0.01632097027693462,8.858918855610498e-10,4.797990493476391
2D_Poisson_sin_hom,qsvt,max_degree,11.0,11.0,8,1.1606899729567843e-07,0.01632097027693462,6.605112742465044e-09,5.251096865162253
2D_Poisson_sin_hom,qsvt,max_degree,15.0,15.0,8,1.9595913959876164e-09,0.01632097027693462,6.497718985251306e-09,6.202629724517465
2D_Poisson_sin_hom,qsvt,max_degree,21.0,21.0,8,2.959837765526225e-09,0.01632097027693462,6.49952889134001e-09,7.325414003804326
2D_Poisson_sin_hom,qsvt,max_degree,51.0,51.0,8,7.582469052841713e-12,0.01632097027693462,6.496995718099611e-09,14.654674533754587
2D_Poisson_sin_hom,qsvt,max_degree,201.0,201.0,8,8.345339414865421e-12,0.01632097027693462,6.496998511855847e-09,52.71870302222669
2D_Poisson_sin_hom,qsvt,max_degree,501.0,501.0,8,1.8821291086181283e-12,0.01632097027693462,6.496996809633505e-09,153.32827844657004
