N,backend_name,case,circuit_depth,circuit_depth_t,converged,discretisation_order,err_alg,err_disc,hhl_epsilon,hhl_scale_c,hhl_trotter_steps,kappa,max_abs_err,max_rel_err,n_gates_2q,n_gates_total,n_qubits,n_timing_repeats,notes,phase_lookup_time_s,proportionality_residual,qsvt_alpha,qsvt_angle_method,qsvt_degree,qsvt_kappa_eff,qsvt_max_degree,qsvt_phases_cached,random_seed,rel_l2_err,residual,rms_err,solver,success_probability,vqls_final_cost,vqls_n_evaluations,vqls_n_layers,vqls_n_restarts,vqls_optimiser_success,wall_time_mean_s,wall_time_s,wall_time_std_s
4,aer_simulator_statevector (CPU),1D_Poisson_fS_hom,3223,85390,True,4,9.68824674378367e-16,0.0016745872152657709,,,,11.947710174364115,0.00016136686116907661,0.16745872152670618,17722,,2,1,,0.00012577406596392393,9.800652001897572e-16,56.506577808748226,auto,1611,11.947710174364115,,True,,0.0016745872152660788,1.0048227571790997e-14,0.00013413682873284684,QSVT,,,,,,,,0.9427839939016849,
4,aer_simulator_statevector (CPU),1D_Poisson_fL_hom,,,True,4,0.0,4.583682454954832e-16,,,,11.947710174364115,3.3306690738754696e-16,6.938893903907231e-14,,,,10,,,1.620576473352182e-16,,,,,,,,4.583682454954832e-16,5.493289430381672e-16,2.3551386880256624e-16,Thomas,,,,,,,3.16981109790504e-05,2.467096783220768e-05,1.644307601870646e-05
4,aer_simulator_statevector (CPU),1D_Poisson_fL_hom,,7771,True,4,0.025076963610870553,4.583682454954832e-16,0.01,1.0506631772416914,100,11.947710174364115,0.018251720922122905,3.1924405200879633,1839,11081,2,1,,,0.01109941952040931,,,,,,,,0.025076963610870907,0.07551893818062332,0.012884777197934355,HHL,,,,,,,,28.286427221959457,
4,aer_simulator_statevector (CPU),1D_Poisson_fL_hom,,12,True,4,5.292427425582864e-07,4.583682454954832e-16,,,,11.947710174364115,4.1722636245911104e-07,7.450470758198412e-05,2,21,2,1,,,2.54116299550912e-07,,,,,,,42,5.292427422228654e-07,9.910180275623157e-07,2.719298445769288e-07,VQLS,,9.821032875834135e-13,356,6,4,True,,2.3627195660956204,
4,aer_simulator_statevector (CPU),1D_Poisson_fL_hom,3223,85390,True,4,0.00021621310503652346,4.583682454954832e-16,,,,11.947710174364115,0.00015716961682954445,0.03538360114949124,17722,,2,1,,1.2909993529319763e-05,0.00010385681349449471,56.506577808748226,auto,1611,11.947710174364115,,True,,0.0002162131050361895,0.0003537242762471796,0.00011109230482980826,QSVT,,,,,,,,0.8864938359474763,
4,aer_simulator_statevector (CPU),1D_Poisson_fH_hom,,,True,4,0.0,0.053031571368204265,,,,11.947710174364115,0.0017799043062201002,8.899521531100506,,,,10,,,0.02905093878046521,,,,,,,,0.053031571368204265,1.6640038659006914e-16,0.00135204508621481,Thomas,,,,,,,3.2177893444895744e-05,2.667098306119442e-05,1.1666127775139652e-05
4,aer_simulator_statevector (CPU),1D_Poisson_fH_hom,,7771,True,4,0.012638191706558676,0.053031571368204265,0.01,0.052928371788239885,100,11.947710174364115,0.0020002520373668953,10.001260186834482,1839,11081,2,1,,,0.040364241436251475,,,,,,,,0.05600633923896812,0.033275054775770654,0.001427887083321979,HHL,,,,,,,,26.83058111090213,
4,aer_simulator_statevector (CPU),1D_Poisson_fH_hom,,12,True,4,0.002980175225069866,0.053031571368204265,,,,11.947710174364115,0.0018764047590872149,9.382023795436078,2,21,2,1,,,0.029222608488605015,,,,,,,42,0.053124698952638015,0.000755452885929614,0.0013544193830662174,VQLS,,5.707090631190681e-07,1000,6,4,True,,6.3162207250716165,
4,aer_simulator_statevector (CPU),1D_Poisson_fH_hom,3223,85390,True,4,4.401782626746552e-14,0.053031571368204265,,,,11.947710174364115,0.0017799043062210439,8.899521531105224,17722,,2,1,,1.7130980268120766e-05,0.029050938780504333,56.506577808748226,auto,1611,11.947710174364115,,True,,0.05303157136820959,1.1559876361288233e-13,0.0013520450862149458,QSVT,,,,,,,,0.8406324239913374,
8,aer_simulator_statevector (CPU),1D_Poisson_fS_nonhom,,,True,4,0.0,8.547885371145579e-06,,,,42.137764839337706,1.6284931174226358e-05,0.0012110793957926436,,,,10,,,3.2515468083840563e-06,,,,,,,,8.547885371145579e-06,7.202225507049736e-16,1.2402114365121092e-05,Thomas,,,,,,,4.7344283666461705e-05,2.8870999813079834e-05,4.401152684343757e-05
